cited_work_id,cited_year,citation_count,title,window
W2128175005,1996,293,THE MOLECULAR BASIS OF DEHYDRATION TOLERANCE IN PLANTS,2005-2009
W1902612187,2000,290,Calcium channels activated by hydrogen peroxide mediate abscisic acid signalling in guard cells,2005-2009
W2174475512,1984,286,Ethylene Biosynthesis and its Regulation in Higher Plants,2005-2009
W1967543716,2002,285,Prediction of Plant MicroRNA Targets,2005-2009
W2095811247,2002,284,"Cell Signaling during Cold, Drought, and Salt Stress",2005-2009
W4255838863,2002,281,Mycorrhizal Symbiosis,2005-2009
W2137981728,1994,280,"A novel cis-acting element in an Arabidopsis gene is involved in responsiveness to drought, low-temperature, or high-salt stress.",2005-2009
W3188909002,2005,280,Phosphate Acquisition,2005-2009
W1973453874,2005,279,"Auxin: Regulation, Action, and Interaction",2005-2009
W2008532143,1994,278,The structure and function of fungal laccases,2005-2009
W2074512572,2004,278,Innate immunity in plants and animals: striking similarities and obvious differences,2005-2009
W2018403717,2003,274,Control of leaf morphogenesis by microRNAs,2005-2009
W2133757548,1999,273,<i>FLOWERING LOCUS C</i> Encodes a Novel MADS Domain Protein That Acts as a Repressor of Flowering,2005-2009
W1985600167,2002,270,"Transcriptome Changes for Arabidopsis in Response to Salt, Osmotic, and Cold Stress,",2005-2009
W2028254759,1995,268,"A Receptor Kinase-Like Protein Encoded by the Rice Disease Resistance Gene, <i>Xa21</i>",2005-2009
W1971798720,2003,265,Reactive oxygen species produced by NADPH oxidase regulate plant cell growth,2005-2009
W1997087247,1991,2863,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",2010-2014
W2162515800,2006,1862,The plant immune system,2010-2014
W2028823348,1973,1838,Rapid determination of free proline for water-stress studies,2010-2014
W2319410825,1985,1724,Statistical Procedures for Agricultural Research.,2010-2014
W2154140763,2002,1474,"Oxidative stress, antioxidants and stress tolerance",2010-2014
W2148717014,2008,1420,Mechanisms of Salinity Tolerance,2010-2014
W2139328007,2004,1330,"REACTIVE OXYGEN SPECIES: Metabolism, Oxidative Stress, and Signal Transduction",2010-2014
W1577441875,1938,1269,The Water-Culture Method for Growing Plants Without Soil,2010-2014
W4248019032,2008,1208,Mycorrhizal Symbiosis,2010-2014
W2105874120,2002,1123,Comparative physiology of salt and water stress,2010-2014
W2123036062,1925,1018,A Method of Computing the Effectiveness of an Insecticide,2010-2014
W2138032440,2002,987,S<scp>ALT AND</scp> D<scp>ROUGHT</scp> S<scp>TRESS</scp> S<scp>IGNAL</scp> T<scp>RANSDUCTION IN</scp> P<scp>LANTS</scp>,2010-2014
W2085258124,1970,974,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,2010-2014
W2141449020,2007,972,Indian Medicinal Plants,2010-2014
W2150539008,1998,897,ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control,2010-2014
W2012986985,2010,855,Genome sequence of the palaeopolyploid soybean,2010-2014
W2082091267,1980,845,Rapid isolation of high molecular weight plant DNA,2010-2014
W1918260619,2000,830,P<scp>LANT</scp>C<scp>ELLULAR AND</scp>M<scp>OLECULAR</scp>R<scp>ESPONSES TO</scp>H<scp>IGH</scp>S<scp>ALINITY</scp>,2010-2014
W3216089686,1950,827,The Water-Culture Method of Growing Plants without Soil.,2010-2014
W2144282014,1980,755,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,2010-2014
W2081323661,1962,749,Speed of Germination—Aid In Selection And Evaluation for Seedling Emergence And Vigor<sup>1</sup>,2010-2014
W2121711582,2005,704,Contrasting Mechanisms of Defense Against Biotrophic and Necrotrophic Pathogens,2010-2014
W2069551150,1995,698,Seeds: Physiology of Development and Germination.,2010-2014
W144423133,2004,691,MicroRNAs,2010-2014
W2014704298,2009,685,"The B73 Maize Genome: Complexity, Diversity, and Dynamics",2010-2014
W2137871007,2009,679,A Renaissance of Elicitors: Perception of Microbe-Associated Molecular Patterns and Danger Signals by Pattern-Recognition Receptors,2010-2014
W2129742189,2004,664,SYSTEMIC ACQUIRED RESISTANCE,2010-2014
W1999708019,2001,663,Principles of Plant Nutrition,2010-2014
W2128741925,2003,657,Na+ Tolerance and Na+ Transport in Higher Plants,2010-2014
W2006807779,1983,651,A plant DNA minipreparation: Version II,2010-2014
W2126386203,2010,644,Reactive oxygen species and antioxidant machinery in abiotic stress tolerance in crop plants,2010-2014
W2040210770,2006,643,Host-Microbe Interactions: Shaping the Evolution of the Plant Immune Response,2010-2014
W2133465603,2005,636,"BOTANICAL INSECTICIDES, DETERRENTS, AND REPELLENTS IN MODERN AGRICULTURE AND AN INCREASINGLY REGULATED WORLD",2010-2014
W1974119162,1970,633,A manual for the practical study of root-nodule bacteria,2010-2014
W2130889389,1993,627,ITS primers with enhanced specificity for basidiomycetes ‐ application to the identification of mycorrhizae and rusts,2010-2014
W2164366449,1979,625,The estimation of protein degradability in the rumen from incubation measurements weighted according to rate of passage,2010-2014
W2125346198,2006,620,"The Genome of Black Cottonwood, <i>Populus trichocarpa</i> (Torr. &amp; Gray)",2010-2014
W2008642796,2003,618,"Local, Efflux-Dependent Auxin Gradients as a Common Module for Plant Organ Formation",2010-2014
W2156852055,2006,616,MicroRNAs AND THEIR REGULATORY ROLES IN PLANTS,2010-2014
W2066394966,1963,612,A TWO‐STAGE TECHNIQUE FOR THE <i>IN VITRO</i> DIGESTION OF FORAGE CROPS,2010-2014
W1856751283,1997,611,International survey of herbicide-resistant weeds,2010-2014
W2135015580,2009,609,"Origin, Biogenesis, and Activity of Plant MicroRNAs",2010-2014
W2049469558,1982,607,Plant Productivity and Environment,2010-2014
W2057433097,2006,587,Roles of glycine betaine and proline in improving plant abiotic stress resistance,2010-2014
W2152972832,2006,584,TRANSCRIPTIONAL REGULATORY NETWORKS IN CELLULAR RESPONSES AND TOLERANCE TO DEHYDRATION AND COLD STRESSES,2010-2014
W1512952934,1982,579,Methods of soil analysis. Part 2. Chemical and microbiological properties.,2010-2014
W1994145712,2007,577,The grapevine genome sequence suggests ancestral hexaploidization in major angiosperm phyla,2010-2014
W2118720098,2001,573,Plant salt tolerance,2010-2014
W2100435771,2009,570,Plant-Growth-Promoting Rhizobacteria,2010-2014
W2028419389,1963,567,Spores of mycorrhizal Endogone species extracted from soil by wet sieving and decanting,2010-2014
W2030625477,2004,566,Salt tolerance and salinity effects on plants: a review,2010-2014
W2153819056,2006,566,Significance of Inducible Defense-related Proteins in Infected Plants,2010-2014
W1595105750,1992,563,A net carbohydrate and protein system for evaluating cattle diets: II. Carbohydrate and protein availability,2010-2014
W2157039533,2004,559,"Computational Identification of Plant MicroRNAs and Their Targets, Including a Stress-Induced miRNA",2010-2014
W2175948239,2005,558,The map-based sequence of the rice genome,2010-2014
W1973328229,2001,556,Plant pathogens and integrated defence responses to infection,2010-2014
W1975473360,1977,549,Superoxide Dismutases,2010-2014
W1980195730,1984,533,"Ribosomal DNA spacer-length polymorphisms in barley: mendelian inheritance, chromosomal location, and population dynamics.",2010-2014
W2013740990,1987,533,Universal chemical assay for the detection and determination of siderophores,2010-2014
W2146106266,1990,533,A new method which gives an objective measure of colonization of roots by vesicular—arbuscular mycorrhizal fungi,2010-2014
W2139582953,2005,529,microRNA-Directed Phasing during Trans-Acting siRNA Biogenesis in Plants,2010-2014
W2140031547,1980,521,Mechanisms of Salt Tolerance in Nonhalophytes,2010-2014
W2102222071,1998,520,A Microsatellite Map of Wheat,2010-2014
W1576511234,1998,519,"Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",2010-2014
W2139520931,2003,515,Plant growth promoting rhizobacteria as biofertilizers,2010-2014
W2052062475,1998,513,"Two Transcription Factors, DREB1 and DREB2, with an EREBP/AP2 DNA Binding Domain Separate Two Cellular Signal Transduction Pathways in Drought- and Low-Temperature-Responsive Gene Expression, Respectively, in Arabidopsis",2010-2014
W2171979944,2003,512,"Plant responses to drought, salinity and extreme temperatures: towards genetic engineering for stress tolerance",2010-2014
W2043496331,2004,511,A high-density microsatellite consensus map for bread wheat (Triticum aestivum L.),2010-2014
W2144626145,2005,502,Drought and Salt Tolerance in Plants,2010-2014
W2078929441,2009,501,Abscisic Acid Inhibits Type 2C Protein Phosphatases via the PYR/PYL Family of START Proteins,2010-2014
W2016750201,1982,499,Medicinal plants and traditional medicine in Africa,2010-2014
W2160069833,2004,496,Novel and Stress-Regulated MicroRNAs and Other Small RNAs from Arabidopsis[W],2010-2014
W2095779053,2005,493,Genes and salt tolerance: bringing them together,2010-2014
W2099524720,2003,492,Understanding plant responses to drought — from genes to the whole plant,2010-2014
W2171012097,1999,492,PLANT COLD ACCLIMATION: Freezing Tolerance Genes and Regulatory Mechanisms,2010-2014
W1594647290,1992,491,Árvores brasileiras : manual de identificacão e cultivo de plantas arbóreas nativas do Brasil,2010-2014
W2118355172,2006,489,THE ROLE OF ROOT EXUDATES IN RHIZOSPHERE INTERACTIONS WITH PLANTS AND OTHER ORGANISMS,2010-2014
W2001396309,2005,485,Growth of the plant cell wall,2010-2014
W2132066544,2002,483,"Antioxidants, Oxidative Damage and Oxygen Deprivation Stress: a Review",2010-2014
W2157517871,1995,482,The enhancement of plant growth by free-living bacteria,2010-2014
W2133307629,2006,480,Seed dormancy and the control of germination,2010-2014
W2117933268,2004,478,"Trichoderma species — opportunistic, avirulent plant symbionts",2010-2014
W2010897775,2007,472,FT Protein Movement Contributes to Long-Distance Signaling in Floral Induction of <i>Arabidopsis</i>,2010-2014
W2106209421,1997,468,Seed Germination and Dormancy.,2010-2014
W1999102617,1991,468,Identification of markers linked to disease-resistance genes by bulked segregant analysis: a rapid method to detect markers in specific genomic regions by using segregating populations.,2010-2014
W2085015140,1999,465,Phosphate solubilizing bacteria and their role in plant growth promotion,2010-2014
W2157827172,2001,464,Biochemistry &amp; molecular biology of plants,2010-2014
W2158752909,2003,463,Phosphorus acquisition and use: critical adaptations by plants for securing a nonrenewable resource,2010-2014
W1967543716,2002,462,Prediction of Plant MicroRNA Targets,2010-2014
W2118566334,2008,460,Strigolactone inhibition of shoot branching,2010-2014
W1999106449,1966,459,Stability Parameters for Comparing Varieties<sup>1</sup>,2010-2014
W2164671653,1997,448,THE OXIDATIVE BURST IN PLANT DISEASE RESISTANCE,2010-2014
W4211237594,2003,448,Mycotoxins,2010-2014
W2146884230,1998,447,SYSTEMIC RESISTANCE INDUCED BY RHIZOSPHERE BACTERIA,2010-2014
W2506364346,1997,445,Avaliação do estado nutricional das plantas: princípios e aplicações,2010-2014
W1997038372,2009,442,Regulators of PP2C Phosphatase Activity Function as Abscisic Acid Sensors,2010-2014
W2155343321,2004,442,"What have we learned from 15 years of free‐air CO<sub>2</sub> enrichment (FACE)? A meta‐analytic review of the responses of photosynthesis, canopy properties and plant production to rising CO<sub>2</sub>",2010-2014
W2061389896,2005,441,Plant sesquiterpenes induce hyphal branching in arbuscular mycorrhizal fungi,2010-2014
W2157236929,2006,435,Gene networks involved in drought stress response and tolerance,2010-2014
W1968079819,2003,434,Efflux-dependent auxin gradients establish the apical–basal axis of Arabidopsis,2010-2014
W1997087247,1991,3078,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",2015-2019
W2028823348,1973,2981,Rapid determination of free proline for water-stress studies,2015-2019
W2148717014,2008,2541,Mechanisms of Salinity Tolerance,2015-2019
W2162515800,2006,2462,The plant immune system,2015-2019
W2319410825,1985,2361,Statistical Procedures for Agricultural Research.,2015-2019
W2126386203,2010,2030,Reactive oxygen species and antioxidant machinery in abiotic stress tolerance in crop plants,2015-2019
W2154140763,2002,1648,"Oxidative stress, antioxidants and stress tolerance",2015-2019
W2139328007,2004,1614,"REACTIVE OXYGEN SPECIES: Metabolism, Oxidative Stress, and Signal Transduction",2015-2019
W4248019032,2008,1515,Mycorrhizal Symbiosis,2015-2019
W3216089686,1950,1127,The Water-Culture Method of Growing Plants without Soil.,2015-2019
W2105874120,2002,1092,Comparative physiology of salt and water stress,2015-2019
W2123036062,1925,1077,A Method of Computing the Effectiveness of an Insecticide,2015-2019
W2138032440,2002,1050,S<scp>ALT AND</scp> D<scp>ROUGHT</scp> S<scp>TRESS</scp> S<scp>IGNAL</scp> T<scp>RANSDUCTION IN</scp> P<scp>LANTS</scp>,2015-2019
W2085258124,1970,1031,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,2015-2019
W2012986985,2010,966,Genome sequence of the palaeopolyploid soybean,2015-2019
W2057433097,2006,963,Roles of glycine betaine and proline in improving plant abiotic stress resistance,2015-2019
W1577441875,1938,950,The Water-Culture Method for Growing Plants Without Soil,2015-2019
W2082091267,1980,909,Rapid isolation of high molecular weight plant DNA,2015-2019
W2100435771,2009,906,Plant-Growth-Promoting Rhizobacteria,2015-2019
W1975473360,1977,876,Superoxide Dismutases,2015-2019
W2144282014,1980,841,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,2015-2019
W2010854320,2010,827,Plant immunity: towards an integrated view of plant–pathogen interactions,2015-2019
W2041493424,2012,792,"Reactive Oxygen Species, Oxidative Damage, and Antioxidative Defense Mechanism in Plants under Stressful Conditions",2015-2019
W2121711582,2005,791,Contrasting Mechanisms of Defense Against Biotrophic and Necrotrophic Pathogens,2015-2019
W1856751283,1997,787,International survey of herbicide-resistant weeds,2015-2019
W2137871007,2009,780,A Renaissance of Elicitors: Perception of Microbe-Associated Molecular Patterns and Danger Signals by Pattern-Recognition Receptors,2015-2019
W2013740990,1987,772,Universal chemical assay for the detection and determination of siderophores,2015-2019
W1975220728,2008,764,"Plant drought stress: effects, mechanisms and management",2015-2019
W2119067812,2008,756,Photosynthesis under drought and salt stress: regulation mechanisms from whole plant to cell,2015-2019
W2140791476,2009,754,Reactive oxygen species homeostasis and signalling during drought and salinity stresses,2015-2019
W2130889389,1993,749,ITS primers with enhanced specificity for basidiomycetes ‐ application to the identification of mycorrhizae and rusts,2015-2019
W2052821301,2007,747,Arabidopsis mesophyll protoplasts: a versatile cell system for transient gene expression analysis,2015-2019
W2017387862,2012,743,The rhizosphere microbiome and plant health,2015-2019
W2150539008,1998,734,ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control,2015-2019
W262869635,2012,732,Marschner's Mineral Nutrition of Higher Plants,2015-2019
W2127396309,2012,718,GenAlEx 6.5: genetic analysis in Excel. Population genetic software for teaching and research—an update,2015-2019
W2030625477,2004,710,Salt tolerance and salinity effects on plants: a review,2015-2019
W1990813498,2014,707,A chromosome-based draft sequence of the hexaploid bread wheat ( <i>Triticum aestivum</i> ) genome,2015-2019
W2014704298,2009,704,"The B73 Maize Genome: Complexity, Diversity, and Dynamics",2015-2019
W2081323661,1962,703,Speed of Germination—Aid In Selection And Evaluation for Seedling Emergence And Vigor<sup>1</sup>,2015-2019
W1514490835,2015,687,"Seeds: ecology, biogeography, and evolution of dormancy and germination",2015-2019
W2107915254,2012,671,The tomato genome sequence provides insights into fleshy fruit evolution,2015-2019
W2142175676,2010,669,Abscisic Acid: Emergence of a Core Signaling Network,2015-2019
W2118355172,2006,668,THE ROLE OF ROOT EXUDATES IN RHIZOSPHERE INTERACTIONS WITH PLANTS AND OTHER ORGANISMS,2015-2019
W2171979944,2003,667,"Plant responses to drought, salinity and extreme temperatures: towards genetic engineering for stress tolerance",2015-2019
W1918260619,2000,663,P<scp>LANT</scp>C<scp>ELLULAR AND</scp>M<scp>OLECULAR</scp>R<scp>ESPONSES TO</scp>H<scp>IGH</scp>S<scp>ALINITY</scp>,2015-2019
W144423133,2004,661,MicroRNAs,2015-2019
W2146106266,1990,657,A new method which gives an objective measure of colonization of roots by vesicular—arbuscular mycorrhizal fungi,2015-2019
W2139520931,2003,652,Plant growth promoting rhizobacteria as biofertilizers,2015-2019
W2133465603,2005,638,"BOTANICAL INSECTICIDES, DETERRENTS, AND REPELLENTS IN MODERN AGRICULTURE AND AN INCREASINGLY REGULATED WORLD",2015-2019
W2111444582,2000,636,Oxidative stress and some antioxidant systems in acid rain-treated bean plants,2015-2019
W2101814492,2005,633,"Cold, salinity and drought stresses: An overview",2015-2019
W2145792266,2014,632,Characterization of polyploid wheat genomic diversity using a high‐density 90 000 single nucleotide polymorphism array,2015-2019
W2078929441,2009,627,Abscisic Acid Inhibits Type 2C Protein Phosphatases via the PYR/PYL Family of START Proteins,2015-2019
W2035759078,2005,625,Crop losses to pests,2015-2019
W2150307368,2014,623,Impact of rice cultivar and organ on elemental composition of phytoliths and the release of bio-available silicon,2015-2019
W2026343134,2010,622,"Establishing, maintaining and modifying DNA methylation patterns in plants and animals",2015-2019
W3166996917,2015,614,International Rules for Seed Testing,2015-2019
W2016654116,2012,613,Plant Growth-Promoting Bacteria: Mechanisms and Applications,2015-2019
W2171788269,2011,610,Hormonal Modulation of Plant Immunity,2015-2019
W2147897291,2011,604,Plant growth-promoting rhizobacteria (PGPR): emergence in agriculture,2015-2019
W2117933268,2004,601,"Trichoderma species — opportunistic, avirulent plant symbionts",2015-2019
W2118720098,2001,600,Plant salt tolerance,2015-2019
W1512952934,1982,597,Methods of soil analysis. Part 2. Chemical and microbiological properties.,2015-2019
W2133307629,2006,596,Seed dormancy and the control of germination,2015-2019
W2156852055,2006,589,MicroRNAs AND THEIR REGULATORY ROLES IN PLANTS,2015-2019
W2035908878,2002,585,"PlantCARE, a database of plant cis-acting regulatory elements and a portal to tools for in silico analysis of promoter sequences",2015-2019
W2152972832,2006,581,TRANSCRIPTIONAL REGULATORY NETWORKS IN CELLULAR RESPONSES AND TOLERANCE TO DEHYDRATION AND COLD STRESSES,2015-2019
W1973831267,2012,576,Defining the core Arabidopsis thaliana root microbiome,2015-2019
W2144177541,2011,574,psRNATarget: a plant small RNA target analysis server,2015-2019
W2115921954,2007,569,Heat tolerance in plants: An overview,2015-2019
W2128741925,2003,569,Na+ Tolerance and Na+ Transport in Higher Plants,2015-2019
W2153819056,2006,566,Significance of Inducible Defense-related Proteins in Infected Plants,2015-2019
W4211237594,2003,556,Mycotoxins,2015-2019
W2099524720,2003,555,Understanding plant responses to drought — from genes to the whole plant,2015-2019
W2157554024,2013,554,Structure and Functions of the Bacterial Microbiota of Plants,2015-2019
W2157236929,2006,554,Gene networks involved in drought stress response and tolerance,2015-2019
W2095779053,2005,548,Genes and salt tolerance: bringing them together,2015-2019
W2085015140,1999,546,Phosphate solubilizing bacteria and their role in plant growth promotion,2015-2019
W2135333204,2005,544,"Use of Plant Growth-Promoting Bacteria for Biocontrol of Plant Diseases: Principles, Mechanisms of Action, and Future Prospects",2015-2019
W2132066544,2002,543,"Antioxidants, Oxidative Damage and Oxygen Deprivation Stress: a Review",2015-2019
W1994145712,2007,542,The grapevine genome sequence suggests ancestral hexaploidization in major angiosperm phyla,2015-2019
W1999708019,2001,538,Principles of Plant Nutrition,2015-2019
W1973328229,2001,536,Plant pathogens and integrated defence responses to infection,2015-2019
W2138655218,2015,535,Control of yellow and purple nutsedge in elevated CO2 environments with glyphosate and halosulfuron,2015-2019
W2028419389,1963,531,Spores of mycorrhizal Endogone species extracted from soil by wet sieving and decanting,2015-2019
W2118269781,2007,531,The unseen majority: soil microbes as drivers of plant diversity and productivity in terrestrial ecosystems,2015-2019
W2093776734,2015,527,Sequencing of allotetraploid cotton (Gossypium hirsutum L. acc. TM-1) provides a resource for fiber improvement,2015-2019
W2008642796,2003,527,"Local, Efflux-Dependent Auxin Gradients as a Common Module for Plant Organ Formation",2015-2019
W2142556037,2014,523,Induced Systemic Resistance by Beneficial Microbes,2015-2019
W2001396309,2005,518,Growth of the plant cell wall,2015-2019
W2141102916,2005,516,"Abiotic stress, the field environment and stress combination",2015-2019
W2011081708,2013,515,"Speak, friend, and enter: signalling systems that promote beneficial symbiotic associations in plants",2015-2019
W1997038372,2009,512,Regulators of PP2C Phosphatase Activity Function as Abscisic Acid Sensors,2015-2019
W2040210770,2006,511,Host-Microbe Interactions: Shaping the Evolution of the Plant Immune Response,2015-2019
W2059864757,2007,509,A unified classification system for eukaryotic transposable elements,2015-2019
W2155343321,2004,508,"What have we learned from 15 years of free‐air CO<sub>2</sub> enrichment (FACE)? A meta‐analytic review of the responses of photosynthesis, canopy properties and plant production to rising CO<sub>2</sub>",2015-2019
W2049469558,1982,504,Plant Productivity and Environment,2015-2019
W2025867904,2008,504,Arbuscular mycorrhiza: the mother of plant root endosymbioses,2015-2019
W2157517871,1995,504,The enhancement of plant growth by free-living bacteria,2015-2019
W2028823348,1973,4778,Rapid determination of free proline for water-stress studies,2020-2024
W1997087247,1991,3805,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",2020-2024
W2148717014,2008,3348,Mechanisms of Salinity Tolerance,2020-2024
W2162515800,2006,3046,The plant immune system,2020-2024
W2319410825,1985,3025,Statistical Procedures for Agricultural Research.,2020-2024
W2126386203,2010,2728,Reactive oxygen species and antioxidant machinery in abiotic stress tolerance in crop plants,2020-2024
W2473156356,2016,2078,Using Deep Learning for Image-Based Plant Disease Detection,2020-2024
W2527891094,2016,1992,Abiotic Stress Signaling and Responses in Plants,2020-2024
W2035908878,2002,1757,"PlantCARE, a database of plant cis-acting regulatory elements and a portal to tools for in silico analysis of promoter sequences",2020-2024
W2154140763,2002,1672,"Oxidative stress, antioxidants and stress tolerance",2020-2024
W2789255992,2018,1547,Deep learning models for plant disease detection and diagnosis,2020-2024
W2139328007,2004,1536,"REACTIVE OXYGEN SPECIES: Metabolism, Oxidative Stress, and Signal Transduction",2020-2024
W2017387862,2012,1518,The rhizosphere microbiome and plant health,2020-2024
W2886785109,2018,1495,Shifting the limits in wheat research and breeding using a fully annotated reference genome,2020-2024
W2123036062,1925,1492,A Method of Computing the Effectiveness of an Insecticide,2020-2024
W2790979755,2018,1421,Deep learning in agriculture: A survey,2020-2024
W2111444582,2000,1326,Oxidative stress and some antioxidant systems in acid rain-treated bean plants,2020-2024
W1975473360,1977,1286,Superoxide Dismutases,2020-2024
W4248019032,2008,1279,Mycorrhizal Symbiosis,2020-2024
W2041493424,2012,1231,"Reactive Oxygen Species, Oxidative Damage, and Antioxidative Defense Mechanism in Plants under Stressful Conditions",2020-2024
W2085258124,1970,1216,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,2020-2024
W2082091267,1980,1210,Rapid isolation of high molecular weight plant DNA,2020-2024
W2142556037,2014,1139,Induced Systemic Resistance by Beneficial Microbes,2020-2024
W262869635,2012,1113,Marschner's Mineral Nutrition of Higher Plants,2020-2024
W2016654116,2012,1111,Plant Growth-Promoting Bacteria: Mechanisms and Applications,2020-2024
W1975220728,2008,1104,"Plant drought stress: effects, mechanisms and management",2020-2024
W1886677716,2015,1073,"Plant biostimulants: Definition, concept, main categories and regulation",2020-2024
W2057433097,2006,1060,Roles of glycine betaine and proline in improving plant abiotic stress resistance,2020-2024
W2105874120,2002,1057,Comparative physiology of salt and water stress,2020-2024
W2035759078,2005,1049,Crop losses to pests,2020-2024
W2013740990,1987,1039,Universal chemical assay for the detection and determination of siderophores,2020-2024
W2140791476,2009,1018,Reactive oxygen species homeostasis and signalling during drought and salinity stresses,2020-2024
W2731951690,2017,1015,Crop Production under Drought and Heat Stress: Plant Responses and Management Options,2020-2024
W2138032440,2002,1006,S<scp>ALT AND</scp> D<scp>ROUGHT</scp> S<scp>TRESS</scp> S<scp>IGNAL</scp> T<scp>RANSDUCTION IN</scp> P<scp>LANTS</scp>,2020-2024
W3216089686,1950,994,The Water-Culture Method of Growing Plants without Soil.,2020-2024
W2061439208,1956,990,Statistical Methods For Agricultural Workers,2020-2024
W3048805481,2020,980,Plant–microbiome interactions: from community assembly to plant health,2020-2024
W2052821301,2007,979,Arabidopsis mesophyll protoplasts: a versatile cell system for transient gene expression analysis,2020-2024
W2470368200,2016,974,Deep Neural Networks Based Recognition of Plant Diseases by Leaf Image Classification,2020-2024
W2157554024,2013,967,Structure and Functions of the Bacterial Microbiota of Plants,2020-2024
W2100435771,2009,945,Plant-Growth-Promoting Rhizobacteria,2020-2024
W2080843596,2014,935,Reactive oxygen species (ROS) and response of antioxidants as ROS-scavengers during environmental stress in plants,2020-2024
W3046014324,2020,930,Reactive Oxygen Species and Antioxidant Defense in Plants under Abiotic Stress: Revisiting the Crucial Role of a Universal Defense Regulator,2020-2024
W2115921954,2007,922,Heat tolerance in plants: An overview,2020-2024
W2885770726,2018,917,Machine Learning in Agriculture: A Review,2020-2024
W2010854320,2010,915,Plant immunity: towards an integrated view of plant–pathogen interactions,2020-2024
W1941885189,2013,913,Top 10 plant‐parasitic nematodes in molecular plant pathology,2020-2024
W2127396309,2012,901,GenAlEx 6.5: genetic analysis in Excel. Population genetic software for teaching and research—an update,2020-2024
W2012986985,2010,899,Genome sequence of the palaeopolyploid soybean,2020-2024
W1005007408,2015,896,FUNGuild: An open annotation tool for parsing fungal community datasets by ecological guild,2020-2024
W2897314349,2018,896,"Plant Growth-Promoting Rhizobacteria: Context, Mechanisms of Action, and Roadmap to Commercialization of Biostimulants for Sustainable Agriculture",2020-2024
W2547303460,2016,886,"Reactive oxygen species, abiotic stress and stress combination",2020-2024
W2147897291,2011,886,Plant growth-promoting rhizobacteria (PGPR): emergence in agriculture,2020-2024
W2095478872,2014,881,Soil salinity: A serious environmental issue and plant growth promoting bacteria as one of the tools for its alleviation,2020-2024
W2130889389,1993,875,ITS primers with enhanced specificity for basidiomycetes ‐ application to the identification of mycorrhizae and rusts,2020-2024
W2118355172,2006,869,THE ROLE OF ROOT EXUDATES IN RHIZOSPHERE INTERACTIONS WITH PLANTS AND OTHER ORGANISMS,2020-2024
W2054600557,2015,855,"Structure, variation, and assembly of the root-associated microbiomes of rice",2020-2024
W2102471114,2013,855,Going back to the roots: the microbial ecology of the rhizosphere,2020-2024
W2119067812,2008,850,Photosynthesis under drought and salt stress: regulation mechanisms from whole plant to cell,2020-2024
W2030625477,2004,845,Salt tolerance and salinity effects on plants: a review,2020-2024
W2023115358,2013,839,Bacteria with ACC deaminase can promote plant growth and help to feed the world,2020-2024
W2753403518,2017,835,A Robust Deep-Learning-Based Detector for Real-Time Tomato Plant Diseases and Pests Recognition,2020-2024
W2521662433,2016,833,ROS Are Good,2020-2024
W2008951912,2012,823,Role of proline under changing environments,2020-2024
W3010798294,2020,814,Salt Tolerance Mechanisms of Plants,2020-2024
W2121711582,2005,806,Contrasting Mechanisms of Defense Against Biotrophic and Necrotrophic Pathogens,2020-2024
W2144282014,1980,804,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,2020-2024
W2043103313,2013,799,"The rhizosphere microbiome: significance of plant beneficial, plant pathogenic, and human pathogenic microorganisms",2020-2024
W2118751052,2012,797,The Top 10 fungal pathogens in molecular plant pathology,2020-2024
W2015065509,2014,796,Agricultural uses of plant biostimulants,2020-2024
W2081323661,1962,782,Speed of Germination—Aid In Selection And Evaluation for Seedling Emergence And Vigor<sup>1</sup>,2020-2024
W2337706971,2016,773,Plant hormone-mediated regulation of stress responses,2020-2024
W2117933268,2004,771,"Trichoderma species — opportunistic, avirulent plant symbionts",2020-2024
W2766229654,2017,770,Feed Your Friends: Do Plant Exudates Shape the Root Microbiome?,2020-2024
W2171788269,2011,751,Hormonal Modulation of Plant Immunity,2020-2024
W1915578613,2012,748,Top 10 plant pathogenic bacteria in molecular plant pathology,2020-2024
W2019075610,2011,745,Deciphering the Rhizosphere Microbiome for Disease-Suppressive Bacteria,2020-2024
